trees,processes,time,SpeedUp,Efficiency
25,1,37.538,,
25,2,19.249,1.9501272793391864,0.9750636396695932
25,4,10.094,3.7188428769566078,0.9297107192391519
25,8,6.039,6.215929789700281,0.7769912237125352
25,16,3.04,12.348026315789472,0.771751644736842
25,32,2.044,18.36497064579256,0.5739053326810175
